sep=;
"id";"category";"name";"description";"acceptance_criteria";"test_cases";"automated";"created_at";"updated_at"
"NFA-05";"Nicht-Funktionale Anforderung";"Usability";"Mattermost-Oberfläche vollständig auf Deutsch lokalisiert (Sprachpaket 'de'). Intuitive Benutzerführung orientiert an bekannten Kommunikationstools (Slack-ähnliches UX). Onboarding-Hinweise für neue Nutzer integriert. Einarbeitungszeit für Grundfunktionen (Nachricht senden, Kanal beitreten, Datei hochladen) maximal 30 Minuten ohne Vorkenntnisse. Verfügbar als Web-UI, Desktop-App (Win/Mac/Linux) und Mobile-App (iOS/Android).";"1) Mattermost-UI auf Deutsch konfiguriert
2) Erstanmeldung ohne Anleitung < 30 Minuten möglich
3) Intuitive Navigation (Kanäle, DMs, Suche)
4) Mobile-Browser-Ansicht funktionsfähig
5) Wichtigste Tastaturkürzel verfügbar";"T1: User anlegen → Sprache Deutsch → UI geprüft
T2: Test-User ohne Vorkenntnis → DM senden < 30 min
T3: Mobile Browser → Login und Nachricht senden
T4: Strg+K (Quick Switcher) → funktioniert
T5: 3 Test-Personen → mind. 2 bestehen 30-Minuten-Test";"1";"2026-03-30 03:49:15";"2026-03-30 03:49:15"
"NFA-06";"Nicht-Funktionale Anforderung";"Wartbarkeit";"Gesamtes System als Docker-Container im Kubernetes-Cluster (k3s) betrieben. Updates via Rolling-Deployment ohne Unterbrechung des laufenden Betriebs. Konfiguration vollständig in Helm-Charts und Kubernetes-Manifesten versioniert (GitOps via Git-Repository). Monitoring via Prometheus und Grafana-Dashboards, Log-Aggregation via Loki. Betrieb und Routinewartung durch einen Linux-Administrator ohne Mattermost-Spezialkenntnisse möglich.";"1) Alle Services via docker compose up/down steuerbar
2) setup.sh --fix behebt Standardprobleme
3) Updates ohne Datenverlust via docker compose pull + up -d
4) Logs zentral via docker compose logs abrufbar
5) Konfiguration vollständig in .env";"T1: docker compose up -d → alle Services healthy
T2: setup.sh --check → kein Fehler auf korrektem System
T3: docker compose pull + up -d → Daten vorhanden
T4: docker compose logs --tail 50 → Logs lesbar
T5: .env-Wert ändern → up -d → Änderung aktiv";"1";"2026-03-30 03:49:15";"2026-03-30 03:49:15"
"NFA-07";"Nicht-Funktionale Anforderung";"Lizenz";"Alle eingesetzten Softwarekomponenten ausschließlich unter anerkannten Open-Source-Lizenzen: Mattermost Team Edition (MIT), Nextcloud (AGPL-3.0), Nextcloud Talk (AGPL-3.0), Collabora Online (MPL-2.0), Keycloak (Apache 2.0), PostgreSQL (PostgreSQL License). Keine proprietären Abhängigkeiten, keine Cloud-Vendor-Bindung, keine laufenden Lizenzgebühren.";"1) Mattermost Team Edition (MIT)
2) Nextcloud + Talk (AGPL v3)
3) Collabora Online (MPL-2.0)
4) Keycloak (Apache 2.0)
5) Traefik (MIT)
6) Lizenzübersicht im Projekt dokumentiert";"T1: Mattermost About → Team Edition (nicht Enterprise)
T2: docker images → Tags → Lizenzen in Repos prüfen
T3: README/LICENSES.md enthält Lizenztabelle
T4: Keine proprietären Plugins aktiviert
T5: Kein inkompatibles Lizenzpaar (GPL vs. proprietär)";"1";"2026-03-30 03:49:15";"2026-03-30 03:49:15"
"SA-01";"Sicherheitsanforderung";"Transportverschlüsselung";"Alle externen Verbindungen (HTTPS für Web-UI und REST-API, WSS für WebSocket-Echtzeitkommunikation) ausschließlich über TLS 1.3 (Fallback: TLS 1.2 mit starken Cipher-Suites). TLS-Terminierung am Ingress-Controller (nginx). Automatische Zertifikatsverwaltung via cert-manager mit Let's Encrypt. HSTS (HTTP Strict Transport Security) aktiviert. Interne Cluster-Kommunikation optional über verschlüsseltes Service-Mesh.";"1) Alle HTTP-Verbindungen auf HTTPS umgeleitet
2) TLS 1.2 mind., TLS 1.3 bevorzugt
3) Gültiges Let's-Encrypt-Zertifikat vorhanden
4) WebSocket (WSS) ebenfalls verschlüsselt
5) HSTS-Header gesetzt";"T1: curl http://chat.domain → 301 Redirect auf HTTPS
T2: nmap --script ssl-enum-ciphers → TLS 1.3 vorhanden
T3: SSL Labs Test → Note mind. A
T4: Browser DevTools → WSS-Verbindung für Mattermost
T5: curl -I https://chat.domain → Strict-Transport-Security Header";"0";"2026-03-30 03:49:15";"2026-03-30 03:49:15"
"SA-02";"Sicherheitsanforderung";"Authentifizierung";"Primäre Authentifizierung über Benutzername/E-Mail und Passwort mit Rate-Limiting zum Schutz vor Brute-Force-Angriffen (automatische Kontosperrung nach 10 Fehlversuchen). Optionale Zwei-Faktor-Authentifizierung (2FA) via TOTP (RFC 6238) – kompatibel mit Google Authenticator, Authy und vergleichbaren Apps. LDAP/Active-Directory-SSO als Unternehmensintegration. Passwort-Reset ausschließlich über verifizierte E-Mail-Adresse.";"1) Login nur mit Benutzername + Passwort möglich
2) TOTP-2FA aktivierbar (z.B. via Authenticator-App)
3) Fehlgeschlagene Logins werden geloggt
4) Keycloak SSO als zentraler Identity Provider
5) Brute-Force-Schutz konfiguriert";"T1: Login mit falschem Passwort → Zugang verweigert
T2: 2FA aktivieren → Login erfordert TOTP-Code
T3: 5x falsches Passwort → Account temporär gesperrt
T4: SSO-Login via Keycloak → Token gültig
T5: Keycloak-Log → fehlgeschlagene Logins sichtbar";"1";"2026-03-30 03:49:15";"2026-03-30 03:49:15"
"SA-03";"Sicherheitsanforderung";"Passwörter";"Passwörter werden niemals im Klartext gespeichert oder übertragen. Hashing ausschließlich mit bcrypt (Kostenfaktor >= 12, entspricht ca. 250 ms Hashzeit auf aktueller Hardware) – deutlich resistenter gegen GPU-basierte Offline-Angriffe als SHA-Varianten. Passwort-Policy: Mindestlänge 12 Zeichen, Pflicht zur Kombination aus Groß-/Kleinbuchstaben, Zahlen und Sonderzeichen. Passwort-Änderung erfordert Eingabe des aktuellen Passworts.";"1) Passwörter werden als bcrypt-Hash gespeichert
2) Kostenfaktor mind. 12
3) Keine Klartext-Passwörter in Logs oder DB
4) Mindestpasswortlänge konfiguriert (mind. 12 Zeichen)
5) Passwort-Richtlinien in Keycloak konfiguriert";"T1: DB-Abfrage → Passwort-Spalte enthält $2b$12$... Format
T2: Keycloak Realm Settings → Password Policy: bcrypt, length>=12
T3: docker compose logs → kein Klartext-Passwort
T4: Login mit 8-Zeichen-Passwort → Registrierung abgelehnt
T5: Keycloak Admin → Password Hashing: bcrypt cost=12";"1";"2026-03-30 03:49:15";"2026-03-30 03:49:15"
"SA-04";"Sicherheitsanforderung";"Session-Timeout";"Sessions werden serverseitig nach 30 Minuten ohne Nutzeraktivität automatisch invalidiert (serverseitiges Session-Management, nicht nur clientseitige Ablaufzeit). JWT-Tokens mit kurzer Gültigkeitsdauer (Access Token: 30 min, Refresh Token: 30 Tage) und serverseitiger Revocation-Möglichkeit. Bei Session-Ablauf wird der Nutzer auf die Login-Seite weitergeleitet. Expliziter Logout invalidiert alle aktiven Sessions des Nutzers auf allen Geräten.";"1) Session-Timeout nach 30 Minuten Inaktivität
2) Access Token Lifespan in Keycloak konfiguriert
3) Mattermost Session-Timeout gesetzt
4) Abgelaufene Token werden abgelehnt
5) User wird bei Timeout zur Login-Seite weitergeleitet";"T1: 31 Minuten inaktiv → nächste Aktion → Redirect zu Login
T2: Keycloak Realm → Access Token Lifespan = 30min prüfen
T3: Token manuell ablaufen lassen → API-Call → 401 Unauthorized
T4: Mattermost Admin → Session Timeout = 30min
T5: Browser-Cookie prüfen → Expiry entspricht Konfiguration";"1";"2026-03-30 03:49:16";"2026-03-30 03:49:16"
"SA-05";"Sicherheitsanforderung";"Audit-Log";"Unveränderliches Audit-Log für alle sicherheitsrelevanten Ereignisse: Login/Logout, fehlgeschlagene Anmeldeversuche, Passwortänderungen, Vergabe und Entzug von Rechten, Kanal-Erstellung/-Löschung, Nutzer-Deaktivierungen sowie Admin-Aktionen. Jeder Eintrag enthält: Zeitstempel (UTC), Nutzer-ID, IP-Adresse, Aktion und betroffenes Objekt. Aufbewahrungsfrist mindestens 90 Tage; Logs exportierbar (CSV/JSON).";"1) Login-Ereignisse protokolliert (Erfolg + Fehlschlag)
2) Datei-Zugriffe/Downloads protokolliert
3) Admin-Aktionen protokolliert
4) Logs mind. 30 Tage aufbewahrt
5) Log-Export möglich (SIEM-fähig)";"T1: Keycloak Admin → Events → Login-Events sichtbar
T2: Mattermost Compliance → Datei-Download-Logs
T3: Admin-Aktion (User löschen) → im Audit-Log sichtbar
T4: Logs nach 31 Tagen → Einträge noch vorhanden
T5: Log-Export als CSV/JSON → erfolgreich";"1";"2026-03-30 03:49:16";"2026-03-30 03:49:16"
"SA-06";"Sicherheitsanforderung";"RBAC";"Rollenbasierte Zugriffskontrolle (RBAC) auf System-, Team- und Kanalebene. Rollen: System-Admin (alle Rechte), Team-Admin (Teamverwaltung), Channel-Admin (Kanalmoderation), Member (Standardnutzer) und Guest (eingeschränkt auf explizit zugewiesene Kanäle). Prinzip der minimalen Rechtevergabe (Least Privilege): neue Nutzer erhalten standardmäßig nur Member-Rechte. Alle Rechteänderungen werden im Audit-Log erfasst.";"1) Rollen Admin, User, Gast mit unterschiedlichen Rechten
2) Gast kann keine Kanäle erstellen
3) Admin kann alle Einstellungen ändern
4) Least-Privilege-Prinzip: User sieht nur eigene Daten
5) Rollen in Keycloak und Mattermost konsistent";"T1: Gast-Account → Kanal erstellen → 403 Forbidden
T2: User-Account → System Console → kein Zugang
T3: Admin-Account → User deaktivieren → möglich
T4: User A → Direktnachrichten von User B → nicht sichtbar
T5: Keycloak-Rollen mit Mattermost-Rollen synchron";"1";"2026-03-30 03:49:16";"2026-03-30 03:49:16"
"SA-07";"Sicherheitsanforderung";"Backup";"Automatisierte tägliche Backups aller kritischen Daten: PostgreSQL-Datenbankdump (pg_dump), Nextcloud-Dateiablage, Mattermost-Konfiguration und Attachments. Backup-Rotation: tägliche Sicherungen für 30 Tage, wöchentliche Sicherungen für 3 Monate. Sicherungen werden AES-256-verschlüsselt auf einem separaten Storage außerhalb des Kubernetes-Clusters abgelegt. Restore-Fähigkeit wird vierteljährlich durch Testwiederherstellung verifiziert.";"1) Tägliches Backup um 02:00 UTC
2) Backup-Ziele: Filen.io und/oder SMB/NAS konfigurierbar
3) Mattermost-Uploads, Nextcloud-Daten, SSL-Zertifikate gesichert
4) Aufbewahrung mind. 30 Tage
5) Restore-Prozess dokumentiert";"T1: rclone-Container-Log prüfen → Backup-Job erfolgreich
T2: Backup-Ziel prüfen → Dateien vorhanden
T3: 31 Tage alte Backup-Datei → noch vorhanden
T4: Backup-Datei herunterladen → entpacken → Daten lesbar
T5: Restore-Prozess im README dokumentiert und nachvollziehbar";"0";"2026-03-30 03:49:16";"2026-03-30 03:49:16"
"SA-08";"Sicherheitsanforderung";"Single Sign-On (SSO)";"Zentrales Identity-Management über Keycloak als OIDC-Provider. Alle Dienste (Mattermost, Nextcloud, Nextcloud Talk) authentifizieren über denselben Keycloak-Realm (homeoffice). Einmalige Anmeldung genügt für alle Dienste (Single Sign-On). Mattermost und Nextcloud sind als eigene OIDC-Clients registriert. Nextcloud Talk erbt die OIDC-Session automatisch von Nextcloud — kein separater Adapter oder Client nötig. Cross-Service-SSO: Login bei einem Dienst gewährt automatisch Zugang zu allen anderen ohne erneute Anmeldung.";"1) Keycloak OIDC-Clients für Mattermost und Nextcloud konfiguriert
2) Redirect-URIs korrekt gesetzt
3) Mattermost SSO-Login leitet zu Keycloak weiter
4) Nextcloud SSO-Login leitet zu Keycloak weiter
5) Talk erbt Nextcloud-OIDC-Session (kein separater Adapter)
6) Cross-Service-SSO: nach Login bei einem Dienst kein erneuter Login bei anderen nötig";"T1: Mattermost OIDC-Client in Keycloak → Redirect-URI enthält chat.localhost
T2: Nextcloud OIDC-Client → Redirect-URI enthält /apps/oidc_login/oidc
T3: Nextcloud oidc_login_provider_url → enthält realms/homeoffice
T4: Mattermost SSO-Login → Redirect zu Keycloak realms/homeoffice
T5: Nextcloud OIDC-Login → Redirect zu Keycloak realms/homeoffice";"1";"2026-03-30 03:49:16";"2026-03-30 03:49:16"
